,Country,Country Code,Cases,Deaths,Population 2019,"Cases per 100,000 People","Deaths per 100,000 People",2017 GDP in Billions,2018 GDP in Billions,2019 GDP in Billions,Capital,Latitude
0,Afghanistan,AFG,39616,1470,38041757.0,104.14,3.86,20.19176,19.484384937,19.101353833,Kabul,34.5167
1,Albania,ALB,14730,407,2862427.0,514.6,14.22,13.019693451,15.147020535,15.278077447,Tirana,41.3275
2,Algeria,DZA,52520,1779,43053054.0,121.99,4.13,167.389,173.758,169.988,Algiers,36.7631
3,Andorra,AND,2568,53,76177.0,3371.1,69.57,3.00018075,3.218316013,3.154057987,Andorra la Vella,42.5
4,Angola,AGO,5725,211,31825299.0,17.99,0.66,122.124,101.353,94.63541587,Luanda,-8.8383
5,Antigua and Barbuda,ATG,108,3,97115.0,111.21,3.09,1.467977778,1.610574074,1.727759259,Saint John’s,17.118
6,Argentina,ARG,840902,22226,44780675.0,1877.82,49.63,642.696,519.872,449.663,Buenos Aires,-34.6025
7,Armenia,ARM,53755,995,2957728.0,1817.44,33.64,11.527458566,12.457941907,13.672802158,Yerevan,40.1812
8,Aruba,ABW,4108,31,106310.0,3864.17,29.16,3.056424581,0.0,0.0,Oranjestad,12.5304
9,Australia,AUS,27182,897,25203200.0,107.85,3.56,1330.14,1433.9,1392.68,Canberra,-35.283
10,Austria,AUT,51382,844,8858775.0,580.01,9.53,418.316,455.508,446.315,Vienna,48.2
11,Azerbaijan,AZE,41113,602,10047719.0,409.18,5.99,40.865558912,47.112941176,48.047647059,Baku,40.3953
12,"Bahamas, The",BHS,4713,102,389486.0,1210.06,26.19,12.1504,12.4245,12.827,Nassau,25.0834
13,Bahrain,BHR,73932,262,1641164.0,4504.85,15.96,35.423643617,37.6525,38.574069149,Manama,26.2361
14,Bangladesh,BGD,373151,5440,163046173.0,228.86,3.34,249.711,274.039,302.571,Dhaka,23.7231
15,Barbados,BRB,203,7,287021.0,70.73,2.44,4.978,5.0865,5.209,Bridgetown,13.102
16,Belarus,BLR,81505,874,9452409.0,862.27,9.25,54.726595249,60.031262269,63.080457023,Minsk,53.9
17,Belgium,BEL,137774,10108,11455519.0,1202.69,88.24,503.789,542.686,529.607,Brussels,50.8333
18,Belize,BLZ,2310,34,390351.0,591.78,8.71,1.8366,1.8712,1.8796136,Belmopan,17.252
